	station46	station49	station121	station45	station50	station126
otu_192	107	9	5	3	0	0
otu_193	4510	284	488	838	163	877
otu_194	170	0	0	0	0	6
otu_195	2291	855	672	7447	1148	2608
otu_196	58	237	13	31	30	1411
otu_197	8376	6584	2031	12104	1549	4494
otu_198	7310	1935	786	3529	880	8135
otu_199	787	3618	152	264	14994	10726
otu_200	10810	70	99	4071	69406	1369
otu_201	17	7	1	1355	0	9
otu_202	2950	431	243	17784	72	19433
otu_203	327	43	723	529	215	2060
otu_205	5951	2318	4813	1639	1138	7774
otu_206	0	0	0	0	0	3
otu_207	51710	2	671	11471	962	26441
otu_208	25814	16718	4	6	12	0
otu_209	322	114	75	329	103	1282
otu_210	23	0	2	5	17	44
otu_211	2196	1294	1497	170	76	471
otu_212	86	77	55	13	0	73351
otu_213	14933	724	90	46868	5053	4548
otu_214	0	28	0	1	0	0
otu_216	3	0	1	0	0	0
otu_217	360	13	1	10	5	3188
otu_218	23	9	218	253	412	328
otu_219	6	13	0	3	0	1
otu_220	1	1	0	0	0	0
otu_221	539	63	28	235	378	72
otu_222	0	0	0	2	0	0
otu_223	13	8	0	2	0	1
otu_224	6	166	684	24	1535	1893
otu_225	4410	250	1	9	5	6
otu_226	447	25	42	36728	9777	204
otu_227	3	17	10	8	2	148
otu_228	10051	931	2522	10322	3352	9358
otu_230	13	1	0	13	0	9
otu_231	223	38	4	5	5	0
otu_232	21920	1962	768	17484	1534	4073
otu_233	0	0	0	0	0	7
otu_234	4871	632	222	7806	7370	1315
otu_235	45	1	43	109	0	6
otu_236	4175	4901	9	4898	187	382
otu_237	3953	2095	1829	17008	1984	3124
otu_238	0	3	0	0	0	0
otu_239	3	9	2	0	1	1
otu_240	15	0	31	3937	0	1
otu_241	180	223	15	168	12	3871
otu_242	91	53	1088	178	20	993
otu_243	10	7	104	2	7	551
otu_244	0	0	2	57	2	0
otu_245	10	10	23	81	6	8
otu_246	9961	126	251	3116	70	26182
otu_247	200	47	1564	98	716	128
otu_248	0	0	0	3	0	0
otu_249	2	1	2	10	3	136
otu_250	2	29	419	8	23179	140
otu_251	14	32	471	2	1953	3989
otu_252	6585	2128	2841	18321	2336	3468
otu_253	62	576	5	5	7	8330
otu_254	11471	5460	43	3535	406	3809
otu_255	4	5	0	0	0	0
otu_256	1	33	0	5	12	13
otu_257	5	1	1	13	17	2
otu_258	4310	2922	12	0	9	195
otu_259	5720	34	21	41853	26	265
otu_260	439	19	23	1385	1	257
otu_261	4238	1772	1058	11380	600	9603
otu_262	6704	1220	839	5427	72	6079
otu_263	38	63	90	1005	86	38
otu_264	0	0	0	2	0	625
otu_265	6	40	1990	7	1463	76
otu_266	29	92	939	51	11206	873
otu_268	19	41	0	4	2	0
otu_269	0	0	0	4	0	0
otu_270	14	1	0	0	0	0
otu_272	111	51	1121	224	1662	44465
otu_273	2	543	0	3	0	10
otu_274	2851	571	904	589	212	623
otu_275	6876	1481	6106	8728	3411	7278
otu_276	0	1	0	0	0	0
otu_277	1473	306	42	2317	182	8231
otu_278	2951	231	1623	15859	632	51484
otu_279	3	119	254	68	188	214
otu_280	6	22	0	0	0	4
otu_281	4268	235	1108	6225	1853	3595
otu_282	10355	5155	1808	37205	3722	2522
otu_283	1888	352	11	601	166	9134
otu_284	87	46	91	9	38	6691
otu_285	8399	2938	273	381	201	14868
otu_286	1159	24	222	5753	441	52
otu_287	1	249	0	0	7	0
otu_288	78822	10877	62	67137	139	220
otu_289	1	3	14	13	1	12
otu_292	0	15	0	17	2	35
otu_293	39	141	50	5	7	0
otu_294	11	19	7	12	1	125
otu_295	9269	1350	295	8257	3385	895
otu_296	38326	72303	4600	5887	1667	4026
otu_297	128	301	64	100	112	1405
otu_299	5543	1548	1083	3073	489	15293
otu_300	8169	18	2	930	211	24
otu_301	48	85	8	187	17	114
otu_302	1896	716	1686	4495	1854	950
otu_303	234	198	1107	35	480	1870
otu_304	86	1	0	634	10	29
otu_305	77069	1604	721	12012	306	24577
otu_306	148	10	92063	113	7080	265
otu_307	202	5331	1	13	8	12258
otu_308	1589	263	355	3048	116	5046
otu_309	26	1	0	3	0	0
otu_310	46257	36355	4	3	23	2586
otu_311	6	3	286	34	23094	4
otu_312	11	14	0	0	2	5068
otu_313	30	18	181	1270	1245	25
otu_314	6	0	0	0	0	0
otu_315	105	9	110	445	52	7481
otu_316	1	4	0	0	0	40
otu_317	43	10	2034	9	29	11674
otu_318	342	278	0	0	3	132
otu_319	0	0	0	1	0	3
otu_320	1777	878	70	2173	125	323
otu_321	1473	0	1	46786	0	14
otu_322	309	530	1291	16990	131	46596
otu_323	2	5	5297	32	743	58
otu_324	4895	1673	298	47028	58	26
otu_326	0	0	0	0	5	0
otu_327	1626	1339	226	1802	223	3332
otu_328	1667	173	551	1326	525	9950
otu_329	362	0	19	212	0	385
otu_330	4	0	4	15	0	28
otu_331	6	16	4	0	40	290
otu_332	0	4	0	1	1	0
otu_333	1	0	93	16	9609	10
otu_334	5225	361	1141	7612	1527	6590
otu_335	3	99	0	1	1	1437
otu_336	0	0	0	0	0	40
otu_337	26	9	128	59	178	63
otu_338	16	5	3936	43	633	162
otu_339	141	260	518	600	485	10295
otu_340	21	438	19	24	16	275
otu_341	1642	649	376	3077	264	866
otu_342	2	115	2053	24	1682	1304
otu_343	6	303	0	0	5	26
otu_344	39	36	6	10	2	5578
otu_345	694	449	16	241	440	6431
otu_346	40	1671	17	37	15	35703
otu_349	23	526	1003	12	410	1384
otu_350	80	24	327	171	121	1130
otu_351	765	71	1685	1332	273	5291
otu_352	8489	531	365	5306	1017	720
otu_353	0	2	3	0	921	0
otu_354	588	130	652	70	3090	989
otu_355	0	43	0	2	0	22
otu_356	4	123	18622	115	341	2716
otu_358	765	708	64	2774	1578	1685
otu_359	3	2	1526	4257	78	1230
otu_361	18	0	0	14	5	7
otu_362	0	71	1	0	0	5
otu_363	179	45	5	0	1	44
otu_366	16	10	24	620	35	15
otu_367	15069	803	52	10065	594	1464
otu_368	546	267	7	201	553	56
otu_369	1688	555	660	16600	3858	1604
otu_370	8	297	6	7	23	323
otu_371	0	0	0	1	0	1
otu_372	3606	977	197	1775	259	4041
otu_373	6151	4	167	1300	2779	12676
otu_374	2	0	8	9	0	14
otu_375	68	2	35	0	2	1803
otu_376	172	70	1414	282	1883	2548
otu_377	12573	797	57	2685	109	2989
otu_378	0	1	2	2	0	1
otu_379	0	0	0	2	0	0
otu_380	5	71	35	7	13	122
otu_382	0	2	0	0	0	0
otu_383	268	146	1190	524	600	9412
otu_384	4620	1428	92	1139	141	300
otu_385	13897	886	3856	17023	4837	5205
otu_386	4	7	0	193	415	2176
otu_387	59	91	1	44	3	26
otu_388	112	90	0	6	3	191
otu_389	0	0	0	1	0	0
otu_390	95	41	24	426	60	223
otu_391	2	1	0	1	0	1
otu_392	11	72	879	22	589	1941
otu_395	244	55	237	1953	312	1129
otu_396	163	66	1743	21	182	2279
otu_397	0	0	185	1	42	15
otu_399	2	0	1	0	0	0
otu_400	2	0	6	8	4456	0
otu_401	695	241	5047	9779	1361	6351
otu_402	1	1	21	27	17	0
otu_403	1632	553	259	2113	962	915
otu_404	260	4	0	63	0	14
otu_405	1359	861	773	8038	1551	220
otu_406	1317	139	945	1041	272	2360
otu_407	0	4	0	3	0	1
otu_408	4752	5763	313	6398	1283	6077
otu_410	2	3	0	0	2	3
otu_412	18	24	12713	57	948	5093
otu_413	0	1	1	8	0	39
otu_414	0	11	0	5	0	0
otu_415	5	236	2	7	4	3
otu_416	8685	636	881	5890	1175	8731
otu_417	9	111	2	9	133	116
otu_418	130	9	0	12	0	16282
otu_419	3869	2688	585	2341	112	1334
otu_420	126	9	0	3	4	3379
otu_421	2	12	2323	25	1035	230
otu_422	0	0	0	3	0	5
otu_423	775	0	175	0	0	31
otu_424	0	6	8	0	16	28
otu_426	19213	1457	49	17334	1562	3294
otu_427	26	2	0	4	0	590
otu_428	4979	465	6603	11971	4402	10229
otu_429	146	18	132	681	136	962
otu_430	67	5	0	15	7	11
otu_431	475	9	321	1173	75	3960
otu_432	0	0	0	0	1	139
otu_433	0	0	0	4	0	0
otu_434	105	106	856	722	188	10213
otu_435	65	1	0	14	0	291
otu_436	121	0	22	5727	28	816
otu_437	0	0	1	0	0	0
otu_438	5	2	77	167	530	103
otu_439	106	37	0	28	13	0
otu_440	1	33	0	813	2	42
otu_441	0	7	0	1	0	8
otu_442	5	5	0	3	1	0
otu_443	0	2	0	12	0	4
otu_444	22	15	2	1	1	9
otu_445	71	37	2	15	0	678
otu_447	43	0	0	1	0	860
otu_448	12	13	4	3	0	25507
otu_449	0	5	0	0	7	245
otu_450	441	80	590	871	108	581
otu_453	3	2	0	0	0	0
otu_454	15	1	2	0	3	33
otu_455	7	0	9	42	1486	13
otu_456	7722	905	378	5490	1319	1847
otu_457	3	0	0	0	0	0
otu_458	0	44	0	0	0	0
otu_459	0	153	8	21	91	15261
otu_461	1872	221	79	4116	639	1767
otu_462	12692	4394	190	5738	1057	1254
otu_463	2	0	4	5	1	11
otu_464	2127	180	267	4681	1864	287
otu_465	1	6	11	5	133	1440
otu_466	683	195	917	53	491	2812
otu_467	8	16	1060	31	1	2650
otu_468	190	30	2	1276	1	29
otu_469	1414	383	459	3256	507	915
otu_470	2047	92	0	6	37	55
otu_471	11	0	0	5	0	1592
otu_472	229	187	12	48	95	255
otu_473	0	1	0	0	0	0
otu_475	292	6	3	38	2	7
otu_476	1	52	1320	5	3887	4412
otu_478	0	11	8	17	0	5
otu_479	2252	558	1330	9483	6640	3725
otu_480	6	41	375	8	9	8
otu_481	8	15	19	0	3	4
otu_482	631	86	500	4391	645	2831
otu_483	27	0	0	16	2	0
otu_484	1	0	5	4	285	0
otu_485	1639	98	715	4579	377	3104
otu_486	2	6	14	6	149960	21
otu_487	95	14	106	43	0	276
otu_489	14	58	0	5	6	56
otu_490	9	4	3	13	15	34
otu_491	2483	1266	902	6145	1368	274
otu_492	178	33	0	1	2	97
otu_493	9	71	211	26	146	409
otu_494	170	27	337	806	906	1401
otu_495	1723	469	8376	5920	3245	1274
otu_496	25	45	325	35	178	55
otu_497	114	7	2	4	2	34
otu_498	273460	8	39	52	1	755
otu_499	16	3	42	129	39	16
otu_500	5	54	786	0	68	4366
otu_501	0	0	8	0	4	0
otu_502	4915	834	7	43097	28	16
otu_503	0	0	0	14	0	0
otu_504	4	90	5	6	0	0
otu_505	4	4	0	0	0	126
otu_506	9	62	2	0	8	0
otu_508	477	229	301	864	57	8646
otu_509	0	0	5	1	0	1
otu_510	1	23	0	0	0	0
otu_512	6660	79	179	1988	1337	600
otu_513	26	11	0	3	0	0
otu_514	4	0	0	0	0	0
otu_515	364	6	15	14387	137	60
otu_516	1	0	5939	14	0	1022
otu_517	797	18	15	134	10	5
otu_518	0	2	59	1	0	13
otu_519	5163	214	66	4516	1255	280
otu_520	15989	131	363	4742	690	1134
otu_521	0	0	0	1	0	46
otu_522	665	362	2006	3042	6162	612
otu_523	0	13	0	0	0	3
otu_524	1529	304	498	2391	804	1620
otu_525	3524	251	0	6	2	35
otu_526	596	185	4164	590	449	1725
otu_528	58	239	1210	218	339	983
otu_529	22	319	6	5	8	2
otu_531	95	0	5	99	97	463
otu_533	2352	241	3169	5271	967	12046
otu_535	1535	554	151	2702	188	450
otu_536	455	79	169	2644	90	9794
otu_537	0	27	233	1	82	0
otu_538	31	799	0	0	11	30
otu_539	5409	13	220	1167	7291	417
otu_540	924	216	89	798	129	296
otu_541	45	47	821	1529	159	948
otu_542	1524	104	4	358	160	942
otu_543	169	2	0	388	0	0
otu_544	1	20	205	121	8	20
otu_545	19	58	105	8	40	3387
otu_546	788	340	914	1326	959	3329
otu_547	8856	571	41	5442	305	956
otu_548	35	7	4	2	1	125
otu_549	636	225	313	3440	364	235
otu_550	490	24	305	1205	298	427
otu_551	8	0	0	0	0	2
otu_552	11	5	14	2	31	84511
otu_553	13	1	1	0	0	1
otu_554	11	12	717	20	26	2499
otu_555	2079	1258	287	6132	332	247
otu_556	1	2	2	11	6	6
otu_557	3	7	0	0	0	14
otu_558	8	11	9	6	3	136
otu_560	3	3	1991	0	2051	172
otu_561	2	1	7	5	2	8
otu_562	18	6	63	19	49	1333
otu_564	484	127	250	108	181	359
otu_565	826	248	301	2561	521	886
otu_566	2234	109	0	1793	37	30
otu_567	4822	245	614	929	17	1025
otu_569	1256	260	478	2726	366	270
otu_570	506	35	62	232	1538	162
otu_571	2	18	776	4	8	2738
otu_572	7	204	8	2	11	168
otu_573	0	8	0	0	1	0
otu_574	38	87	76	21	13	706
otu_575	2848	3221	145	2042	132	1064
otu_576	0	4	0	0	0	3
otu_577	352	44	37	37	23	103
otu_578	1967	197	1	1	6	24
otu_579	0	2	0	0	0	1
otu_580	0	3	0	3	0	2
otu_581	0	0	35929	1	255	73
otu_582	4	6	1	9	4	43
otu_583	1674	155	156	1183	355	969
otu_584	0	0	0	0	1	0
otu_585	393	123	365	377	450	586
otu_586	466	22	106	544	42	853
otu_587	645	75	556	827	408	9114
otu_588	0	4	0	0	0	1
otu_589	0	13	121	10	45	0
otu_590	597	152	152	1375	156	219
otu_591	48	17	76	10	30	3
otu_592	1282	3	61	124	98	69
otu_593	1446	152	339	1141	827	2216
otu_594	1670	198	864	422	353	2655
otu_595	1288	16	372	28	0	0
otu_596	2523	341	677	2137	714	1949
otu_597	0	8	4	0	8	6
otu_598	213	46	170	49	754	1262
otu_599	21924	22	0	2	2	2
otu_600	767	147	106	23	35	80
otu_601	0	1	9	0	10	109
otu_602	22	37	18	5	1	8129
otu_603	959	117	26	10	8	40
otu_604	99	432	1	11	2	333
otu_605	274	283	837	1035	864	1111
otu_606	0	0	0	1	1	4
otu_607	48	71	62	1	28	5127
otu_608	1	114	0	0	2	0
otu_609	7	72	1	0	2	597
otu_610	919	393	351	2973	1752	531
otu_611	49	31	47	1383	1000	741
otu_613	0	2	0	2	1	1
otu_614	2983	79	439	1514	626	2438
otu_616	2	2	6	17	0	8
otu_617	1252	86	146	415	132	347
otu_618	2731	657	1333	7722	1210	2299
otu_621	74	30	89	12	2	143
otu_622	230	309	3	313	241	638
otu_623	54	4	0	7	0	2123
otu_624	1648	186	432	595	2329	1263
otu_625	15	28	133	90	393	536
otu_626	1475	1328	609	6	27	729
otu_627	1548	458	541	2285	340	68
otu_628	705	49	9	90	12	1824
otu_629	6	69	0	4	0	20
otu_630	383	395	49	115	60	295
otu_631	252	135	270	214	60	1672
otu_632	0	0	3025	1	2	2
otu_633	3195	1516	1217	10210	214	33417
otu_635	3	0	0	1	0	0
otu_636	50	96	11	51	1	469
otu_637	299	9	9	202831	58	440
otu_639	0	0	0	4	0	5
otu_640	263	204	238	1611	1430	62
otu_641	0	15	0	22	7	0
otu_642	0	1	1	0	0	0
otu_643	6745	535	26	1969	836	873
otu_645	10653	1041	79	3	1	7
otu_646	665	23	163	10364	36	125
otu_647	2	1	0	19	102	47
otu_648	12	20	159	11	356	526
otu_649	3536	367	111	2755	306	1275
otu_651	2797	163	1144	249	66	243
otu_652	0	0	7	0	0	18
otu_653	34	0	682	2	1	37
otu_654	9262	16833	27	4003	1085	1068
otu_655	204	2	446	1397	22	19
otu_656	1836	920	680	1905	317	941
otu_657	274	11	204	2070	293	96
otu_660	0	8	1837	25	14	57
otu_661	0	19	400	147	3	255
otu_662	0	8	0	0	0	0
otu_664	6171	644	760	1664	370	1123
otu_665	0	6	12	1	47	596
otu_666	4593	2205	661	9439	762	1033
otu_667	622	69	366	846	351	2283
otu_668	151	336	911	2021	670	1987
otu_669	131	49	414	74	6402	1375
otu_670	2	10	3021	4	295	38
otu_671	562	377	381	713	757	1132
otu_672	1	1	0	0	0	0
otu_673	0	2	0	0	0	1
otu_674	55	3	7	3	2	360
otu_675	0	7	1364	2	16	3
otu_676	490	17	0	1997	8	4957
otu_677	16	13	165	6	21	90
otu_678	314	98	606	256	32	30
otu_679	0	11	616	2	5	780
otu_680	0	0	1	0	0	0
otu_681	98	22	115	161	57	401
otu_683	85	38	5	2	1	4261
otu_684	153	6	0	3	6	21696
otu_685	661	144	233	1138	286	2663
otu_686	12	4	1	12	2	12
otu_687	1	0	0	25	1	6
otu_688	4	0	14	9	45	787
otu_689	1560	162	9	2577	139	66
otu_690	4	14	512	9	6	23
otu_692	0	68	0	0	3	2
otu_693	362	14	18	895	26	118
otu_695	3211	255	22	2	6	137
otu_696	64	434	825	77	142	3706
otu_697	2290	254	18	3012	330	1162
otu_698	0	0	632	1	552	6049
otu_699	881	2435	19	3077	1319	759
otu_700	16	0	0	132	0	43
otu_701	69	28	1	0	27	21162
otu_702	1781	321	370	5022	1238	622
otu_703	524	18	20	76	57	42025
otu_704	3535	709	362	2580	413	1234
otu_705	232	42	0	1	0	0
otu_706	0	0	26	2	0	1
otu_707	4520	135	57	750	64	114
otu_708	0	55	24	4	500	344
otu_709	2837	27	6370	19695	3543	2507
otu_710	1	34	0	4	1	41
otu_711	3	1	5	0	0	106
otu_712	1266	214	1421	2587	506	632
otu_713	41	125	29	27	5	9
otu_714	28	0	3	5068	2	10
otu_715	2917	4844	3	6	3	0
otu_716	0	55	0	494	140	16
otu_717	164	3	163	50	289	104
otu_718	8061	381	48	567	2	190
otu_720	10011	1	0	0	0	0
otu_721	629	419	64	1039	132	65
otu_722	0	0	1	12	20	33
otu_724	31	39	118	26	467	501
otu_725	332	56	147	395	65	316
otu_726	14	57	216	37	399	381
otu_727	29	2	3	3	1	0
otu_728	0	3	412	1	143	338
otu_729	531	147	123	2386	207	3981
otu_730	20	0	0	12	38	0
otu_731	71	8	1429	146	157	36
otu_732	2	65	174	6	8	663
otu_733	688	163	3	1599	88	157
otu_734	3	7	0	0	0	4
otu_735	4	19	56	2	1	72
otu_736	2	5	7	14	11	67
otu_737	0	13	0	1	0	1
otu_739	2945	829	900	2054	59	1422
otu_740	2	16	1	8	49	0
otu_741	22	1	0	0	0	388
otu_742	69	5	0	1	1	703
otu_743	347	231	191	556	78	597
otu_744	1645	884	47	1907	522	770
otu_746	7	1	0	0	11	20
otu_747	3228	20	0	10	0	0
otu_748	138	129	258	5925	71	2687
otu_749	1	174	145	8	5	6
otu_750	3628	1587	245	2373	96	487
otu_751	17	83	2	2	2	0
otu_752	0	4	1	2	29	620
otu_753	1235	28	0	7	1	0
otu_754	3223	1000	274	3693	452	732
otu_755	0	1	0	5	4	0
otu_756	8	0	0	2	2	874
otu_757	4	9	2	4	191	10
otu_758	7	0	0	4	0	0
otu_759	2	317	86	1	6	1
otu_760	1496	563	12	2907	1162	252
otu_761	34	13	0	0	6	10104
otu_762	6	1	0	1	0	5
otu_764	28	85	126	16	1740	575
otu_765	5	0	4	0	0	29567
otu_766	11	18	333	3	33	429
otu_767	14	52	478	33	230	537
otu_768	0	0	2	0	0	7
otu_771	4	3	2	3	0	0
otu_772	744	62	688	1646	529	2711
otu_773	729	91	96	1255	123	45
otu_774	0	0	0	1	0	0
otu_775	1027	299	63	324	496	1050
otu_776	0	23	31	0	3	654
otu_777	0	3	1	0	0	0
otu_778	0	0	0	2	0	0
otu_779	1231	455	629	2164	632	889
otu_780	9349	47	340	3065	91	418
otu_781	70	1	1	161	0	0
otu_782	168	67	961	4	31	257
otu_783	0	3	142	0	187	157
otu_784	258	192	20	82	42	1775
otu_785	623	25	155	1467	316	789
otu_786	12	14	11	4	90	84
otu_787	135	19	3115	1	1016	63
otu_788	2	28	41	0	1	530
otu_789	308	193	237	1577	1313	449
otu_790	520	73	315	314	30	10729
otu_791	2	2	65	0	1	55
otu_793	361	362	306	713	106	138
otu_794	1420	80	547	3254	732	350
otu_795	1	0	0	25	0	4
otu_796	2902	7	42	244	0	196
otu_797	214	0	0	17	14	9
otu_799	7	0	0	0	0	0
otu_800	0	0	0	0	0	1319
otu_801	1	11	2	2	0	1
otu_802	0	49	568	0	67	99
otu_803	2	12	94	4	5	899
otu_804	3675	194	123	4477	312	287
otu_806	20	6	659	40	38	5199
otu_807	1522	38	96	2609	128	364
otu_808	3664	271	2181	6037	2614	4318
otu_809	59	84	24	46	192	163
otu_810	1	0	0	0	0	0
otu_811	7	24	1158	1	33	114
otu_812	1424	508	40	619	557	3097
otu_813	3	18	0	1	1	417
otu_814	277	43	53	370	41	2327
otu_815	1175	14	0	172	0	52
otu_817	304	20	0	4	1	621
otu_818	824	64	65	9074	1221	2297
otu_819	3	0	361	2	8	64
otu_820	24	0	14	1	0	784
otu_822	115	40	98	600	65	1
otu_823	0	59	9	16	86	17
otu_825	1661	420	4	813	40	79
otu_826	4	18	511	1	4	4
otu_827	5	8	281	9	663	2703
otu_828	0	2	1	0	1	0
